Dataset_ID,Species,Individual_ID,Tag ID,Local ID,Sex,Length,Length_measurement,deploy_lat,deploy_long,Data_type,track_start,track_end,data_days,Data_recovery,Time.series,sampling_freq_sec_max,pop_lat,pop_long,realm_start,realm_end,FAO_start,FAO_end,realm_consistent,FAO_consisent
1,Blue shark,1,03P0282,1604003,NA,187,CFL,33.6,-119.7333333,Archive,2/7/2004,9/11/2004,131,archival,Yes,60,NA,NA,7,NA,77,NA,1,1
1,Blue shark,2,04P0149,1604008,NA,188,STL,35.4,-121.0833333,Archive,10/11/2004,11/12/2004,32,archival,Yes,60,NA,NA,7,NA,77,NA,1,1
1,Blue shark,3,04P0247,1604022,NA,175,STL,35.28333333,-120.9333333,Archive,17/11/2004,10/3/2005,114,archival,Yes,30,27.133,-114.298,7,12,77,77,0,1
1,Blue shark,4,05P0076,1606004,NA,176,TL,25.635,-113.8633333,Archive,16/07/2006,14/08/2006,31,archival,Yes,60,NA,NA,12,NA,77,NA,1,1
1,Blue shark,5,05P0186,1606015,NA,163,STL,33.04666667,-118.2416667,Archive,16/07/2006,6/10/2006,83,archival,Yes,60,33,-115.8855972,7,7,77,77,1,1
1,Blue shark,6,00P0762,1602001,NA,NA,NA,NA,NA,Time-at-depth,29/06/2002,25/08/2002,50,transmitted,No,NA,25.408,-114.845,7,12,NA,77,1,1
1,Blue shark,7,00P0719,1602002,NA,NA,NA,NA,,Time-at-depth,29/06/2002,20/10/2002,58,transmitted,No,NA,34.34,-119.846,7,7,NA,77,1,1
1,Blue shark,8,00P0695,1602003,NA,199,CFL,33,-118.3833333,Time-at-depth,1/7/2002,26/08/2002,52,transmitted,No,NA,32.718,-119.809,7,7,77,77,1,1
1,Blue shark,9,00P0733,1602005,NA,NA,NA,NA,NA,Time-at-depth,6/7/2002,3/12/2002,43,transmitted,No,NA,22.957,-118.076,7,12,NA,77,1,1
1,Blue shark,10,02P0660,1603001,NA,215,CFL,33.51666667,-119.2833333,Time-at-depth,13/07/2003,24/12/2003,35,transmitted,No,NA,24.968,-140.079,7,9,77,77,0,1
1,Blue shark,11,04P0146,1604004,NA,164,STL,35.13333333,-121.8333333,Time-at-depth,9/11/2004,22/12/2004,44,transmitted,No,NA,32.258,-126.975,7,9,77,77,0,1
1,Blue shark,12,04P0362,1604007,NA,195,STL,35.4,-121.0833333,Time-at-depth,10/11/2004,20/12/2004,40,transmitted,No,NA,22.727,-113.474,7,12,77,77,0,1
1,Blue shark,13,04P0150,1604009,NA,188,STL,37,-123.3333333,Time-at-depth,12/11/2004,28/04/2005,81,transmitted,No,NA,7.281,-124.03,7,22,77,77,0,1
1,Blue shark,14,04P0363,1604010,NA,187,STL,36.81666667,-122,Histograms,14/11/2004,2/2/2005,31,transmitted,No,NA,13.676,-109.443,7,22,77,77,0,1
1,Blue shark,15,04P0145,1604011,NA,187,STL,36.81666667,-122,Histograms,12/11/2004,13/03/2005,50,transmitted,No,NA,12.537,-121.104,7,22,77,77,0,1
1,Blue shark,16,04P0148,1604012,NA,197,STL,36.81666667,-122,Time-at-depth,12/11/2004,4/2/2005,70,transmitted,No,NA,14.777,-110.743,7,22,77,77,0,1
1,Blue shark,17,04P0151,1604013,NA,NA,NA,NA,NA,Time-at-depth,12/11/2004,19/11/2004,8,transmitted,No,NA,36.4,-122.186,7,7,NA,77,1,1
1,Blue shark,18,04P0152,1604017,NA,189,STL,35.63333333,-121.3166667,Time-at-depth,16/11/2004,29/03/2005,95,transmitted,No,NA,5.724,-119.098,7,22,77,77,0,1
1,Blue shark,19,04P0143,1604018,NA,173,STL,35.63333333,-121.3166667,Time-at-depth,17/11/2004,19/12/2004,33,transmitted,No,NA,29.142,-114.995,7,12,77,77,0,1
1,Blue shark,20,04P0247,1604022,NA,175,STL,35.28333333,-120.9333333,Time-at-depth,17/11/2004,8/3/2005,38,transmitted,No,NA,27.133,-114.298,7,12,77,77,0,1
1,Blue shark,21,05P0074,1606003,NA,230,TL,25.55166667,-113.8216667,Time-at-depth,30/01/2006,2/3/2006,32,transmitted,No,NA,24.354,-113.145,12,12,77,77,1,1
1,Blue shark,22,05P0070,1606007,NA,197,TL,25.19666667,-113.415,Time-at-depth,31/01/2006,7/3/2006,34,transmitted,No,NA,14.907,-112.708,12,22,77,77,0,1
1,Blue shark,23,05P0071,1606008,NA,176,TL,21.013,-110.33,Time-at-depth,30/01/2006,20/03/2006,49,transmitted,No,NA,14.17,-108.668,12,22,77,77,0,1
1,Blue shark,24,06A0793,1607001,NA,207,SFL,32.915,-118.1933333,Time-at-depth,13/07/2007,11/9/2007,61,transmitted,No,NA,6.921,-124.039,7,22,77,77,0,1
1,Blue shark,25,06A0815,1607002,NA,220,SFL,33.60666667,-118.635,Time-at-depth,15/07/2007,11/12/2007,125,transmitted,No,NA,23.617,-113.72,7,12,77,77,0,1
1,Blue shark,26,06A0575,1607003,NA,158,SFL,48.63333333,-126.1,Time-at-depth,22/07/2007,25/12/2007,135,transmitted,No,NA,40.19599915,-163.1959991,7,9,67,67,0,1
1,Blue shark,27,06A0576,1607004,NA,145,SFL,48.63333333,-126.1,Time-at-depth,21/07/2007,20/12/2007,138,transmitted,No,NA,32.95500183,-124.9189987,7,9,67,77,0,0
1,Blue shark,28,06A0831,1607005,NA,150,SFL,48.56666667,-126.05,Time-at-depth,24/07/2007,13/02/2008,144,transmitted,No,NA,37.77500153,-145.0070038,7,9,67,77,0,0
1,Blue shark,29,06A0840,1607006,NA,158,SFL,48.51666667,-126,Time-at-depth,24/07/2007,19/03/2008,195,transmitted,No,NA,32.54899979,-117.5569992,7,7,67,77,1,0
1,Blue shark,30,06A0841,1607007,NA,155,SFL,48.56666667,-126.0166667,Time-at-depth,29/07/2007,29/01/2008,111,transmitted,No,NA,15.21100044,-121.6539993,7,9,67,77,0,0
1,Blue shark,31,06A0579,1607009,NA,160,SFL,48.56666667,-126.0166667,Time-at-depth,25/07/2007,20/03/2008,132,transmitted,No,NA,33.97100067,-119.262001,7,7,67,77,1,0
1,Blue shark,32,06A0585,1607011,NA,161,SFL,48.56666667,-126.0166667,Time-at-depth,25/07/2007,19/03/2008,205,transmitted,No,NA,37.66199875,176.253006,7,9,67,61,0,0
1,Blue shark,33,06A0581,1607012,NA,145,SFL,48.58333333,-126.05,Time-at-depth,27/07/2007,8/11/2007,104,transmitted,No,NA,38.52999878,-133.5279999,7,9,67,77,0,0
1,Blue shark,34,06A0741,1608001,NA,250,SFL,32.87,-117.7966667,Time-at-depth,17/06/2008,1/7/2008,15,transmitted,No,NA,33.81100082,-118.6600037,7,7,77,77,1,1
