"","Species","Individual_ID","Depth_bin","p"
"1","Blue shark",1,0,0.389293382851787
"2","Blue shark",1,10,0.0526448309868021
"3","Blue shark",1,20,0.0650664092826119
"4","Blue shark",1,30,0.0656119515726306
"5","Blue shark",1,40,0.0502178672094113
"6","Blue shark",1,50,0.0347748239227288
"7","Blue shark",1,60,0.0337676689257713
"8","Blue shark",1,70,0.0313896640718437
"9","Blue shark",1,80,0.0264378186701358
"10","Blue shark",1,90,0.0202759884456941
"11","Blue shark",1,100,0.0180238779663862
"12","Blue shark",1,110,0.0160165621043944
"13","Blue shark",1,120,0.0135546276673871
"14","Blue shark",1,130,0.0123936017681166
"15","Blue shark",1,140,0.00967288444994649
"16","Blue shark",1,150,0.00753967421333501
"17","Blue shark",1,160,0.00795932212873399
"18","Blue shark",1,170,0.00842093483567287
"19","Blue shark",1,180,0.00628073046713807
"20","Blue shark",1,190,0.00722493827678578
"21","Blue shark",1,200,0.00828804632912986
"22","Blue shark",1,210,0.00574218230904271
"23","Blue shark",1,220,0.00963791379032991
"24","Blue shark",1,230,0.00660945466753394
"25","Blue shark",1,240,0.00904341257684802
"26","Blue shark",1,250,0.00607090650943858
"27","Blue shark",1,260,0.00934416024955063
"28","Blue shark",1,270,0.00610587716905516
"29","Blue shark",1,280,0.00957496660302007
"30","Blue shark",1,290,0.0066793959867671
"31","Blue shark",1,300,0.0127992614196689
"32","Blue shark",1,310,0.00673534904215363
"33","Blue shark",1,320,0.00659546640368731
"34","Blue shark",1,330,0.0056092938024997
"35","Blue shark",1,340,0.00777747469872777
"36","Blue shark",1,350,0.00237101072200424
"37","Blue shark",1,360,0.00138483812081663
"38","Blue shark",1,370,0.000727389720024899
"39","Blue shark",1,380,0.000909237150031124
"40","Blue shark",1,390,0.000244794617316072
"41","Blue shark",1,400,0.000146876770389643
"42","Blue shark",1,410,0.000146876770389643
"43","Blue shark",1,420,0.000307741804625919
"44","Blue shark",1,430,0.000118900242696378
"45","Blue shark",1,440,0.000118900242696378
"46","Blue shark",1,450,5.59530553865307e-05
"47","Blue shark",1,460,0.000118900242696378
"48","Blue shark",1,470,5.59530553865307e-05
"49","Blue shark",1,480,9.09237150031124e-05
"50","Blue shark",1,490,1.39882638466327e-05
"51","Blue shark",1,500,6.99413192331634e-06
"52","Shortfin mako shark",112,0,0.227193473040103
"53","Shortfin mako shark",112,10,0.0920814554067836
"54","Shortfin mako shark",112,20,0.107050037832681
"55","Shortfin mako shark",112,30,0.093167088857453
"56","Shortfin mako shark",112,40,0.0634602098891338
"57","Shortfin mako shark",112,50,0.0410895812086719
"58","Shortfin mako shark",112,60,0.0330295752870349
"59","Shortfin mako shark",112,70,0.0249695693653979
"60","Shortfin mako shark",112,80,0.0254630391157022
"61","Shortfin mako shark",112,90,0.0281277757673455
"62","Shortfin mako shark",112,100,0.028950225351186
"63","Shortfin mako shark",112,110,0.0406290094417212
"64","Shortfin mako shark",112,120,0.0553673059841432
"65","Shortfin mako shark",112,130,0.0398065598578807
"66","Shortfin mako shark",112,140,0.0360890877389216
"67","Shortfin mako shark",112,150,0.0171727473105899
"68","Shortfin mako shark",112,160,0.013521071158338
"69","Shortfin mako shark",112,170,0.0126986215744975
"70","Shortfin mako shark",112,180,0.00674408658749219
"71","Shortfin mako shark",112,190,0.00486890153633582
"72","Shortfin mako shark",112,200,0.00325690035200842
"73","Shortfin mako shark",112,210,0.00115142941737671
"74","Shortfin mako shark",112,220,0.00174359311774188
"75","Shortfin mako shark",112,230,0.000427673783597065
"76","Shortfin mako shark",112,240,0.000493469750304306
"77","Shortfin mako shark",112,250,0.000460571766950686
"78","Shortfin mako shark",112,260,9.86939500608613e-05
"79","Shortfin mako shark",112,270,0.000263183866828963
"80","Shortfin mako shark",112,280,0.000230285883475343
"81","Shortfin mako shark",112,290,3.28979833536204e-05
"82","Shortfin mako shark",112,300,3.28979833536204e-05
"83","Shortfin mako shark",112,310,0.000197387900121723
"84","Shortfin mako shark",112,320,6.57959667072408e-05
"85","Shortfin mako shark",112,330,6.57959667072408e-05
"86","White shark",113,0,0.230484095321074
"87","White shark",113,10,0.0885113342810413
"88","White shark",113,20,0.0386878830956421
"89","White shark",113,30,0.0198254383149142
"90","White shark",113,40,0.0166918879258954
"91","White shark",113,50,0.0165696030326654
"92","White shark",113,60,0.0186408034117485
"93","White shark",113,70,0.0236239128108711
"94","White shark",113,80,0.0187019458583635
"95","White shark",113,90,0.0220647804221886
"96","White shark",113,100,0.0253359013160912
"97","White shark",113,110,0.0188242307515935
"98","White shark",113,120,0.0160346066247841
"99","White shark",113,130,0.0150257562556366
"100","White shark",113,140,0.0159428929548616
"101","White shark",113,150,0.0154384677702878
"102","White shark",113,160,0.0154690389935953
"103","White shark",113,170,0.0158206080616316
"104","White shark",113,180,0.0156295379159597
"105","White shark",113,190,0.0174790969260635
"106","White shark",113,200,0.0178306659940998
"107","White shark",113,210,0.0163861756928203
"108","White shark",113,220,0.0233793430244111
"109","White shark",113,230,0.0303495819385213
"110","White shark",113,240,0.0350728359395301
"111","White shark",113,250,0.0189618012564773
"112","White shark",113,260,0.0114642087403127
"113","White shark",113,270,0.0103712875070696
"114","White shark",113,280,0.00907201051650082
"115","White shark",113,290,0.0129621986823803
"116","White shark",113,300,0.00997386160407209
"117","White shark",113,310,0.00682502560339952
"118","White shark",113,320,0.00632824322465263
"119","White shark",113,330,0.0107075709634521
"120","White shark",113,340,0.010592928876049
"121","White shark",113,350,0.00665688387520827
"122","White shark",113,360,0.00734473639962703
"123","White shark",113,370,0.0114183519053515
"124","White shark",113,380,0.0111126396722765
"125","White shark",113,390,0.00670274071016952
"126","White shark",113,400,0.00599195976827013
"127","White shark",113,410,0.00901086806988582
"128","White shark",113,420,0.00866694180767643
"129","White shark",113,430,0.00494489536998823
"130","White shark",113,440,0.00502896623408386
"131","White shark",113,450,0.00544932055456199
"132","White shark",113,460,0.00502132342825698
